step,time,loss,acc
50,2021-04-25T14:32:37.347502,5.881075e-01,7.109375e-01
100,2021-04-25T14:32:45.533615,4.817585e-01,7.500000e-01
150,2021-04-25T14:32:53.784555,4.690664e-01,7.656250e-01
200,2021-04-25T14:33:02.090349,5.298432e-01,7.031250e-01
250,2021-04-25T14:33:10.406116,3.870811e-01,8.281250e-01
300,2021-04-25T14:33:18.719888,4.522925e-01,8.046875e-01
350,2021-04-25T14:33:27.042636,4.778413e-01,7.968750e-01
400,2021-04-25T14:33:35.345438,3.961506e-01,8.203125e-01
450,2021-04-25T14:33:43.612335,3.639067e-01,8.437500e-01
500,2021-04-25T14:33:51.945056,3.986545e-01,8.515625e-01
550,2021-04-25T14:34:00.905399,4.036440e-01,8.203125e-01
600,2021-04-25T14:34:09.220167,3.814946e-01,8.125000e-01
650,2021-04-25T14:34:17.511999,3.982212e-01,8.203125e-01
700,2021-04-25T14:34:25.792858,4.269922e-01,8.203125e-01
750,2021-04-25T14:34:34.085687,4.069338e-01,8.437500e-01
800,2021-04-25T14:34:42.371534,2.697432e-01,8.750000e-01
850,2021-04-25T14:34:50.668351,3.589169e-01,8.359375e-01
900,2021-04-25T14:34:58.956193,4.479547e-01,7.656250e-01
950,2021-04-25T14:35:07.257000,2.583366e-01,8.984375e-01
1000,2021-04-25T14:35:15.526889,3.958763e-01,8.203125e-01
1050,2021-04-25T14:35:24.444822,2.819831e-01,8.671875e-01
1100,2021-04-25T14:35:32.717705,4.346913e-01,8.281250e-01
1150,2021-04-25T14:35:41.025491,2.132978e-01,9.296875e-01
1200,2021-04-25T14:35:49.359210,3.339612e-01,8.437500e-01
1250,2021-04-25T14:35:57.654033,2.497267e-01,9.218750e-01
1300,2021-04-25T14:36:05.958830,3.098851e-01,8.515625e-01
1350,2021-04-25T14:36:14.261631,3.314049e-01,8.359375e-01
1400,2021-04-25T14:36:22.580390,3.196241e-01,8.671875e-01
1450,2021-04-25T14:36:30.899148,3.042522e-01,8.593750e-01
1500,2021-04-25T14:36:39.194969,3.143214e-01,8.750000e-01
1550,2021-04-25T14:36:48.094184,2.749011e-01,8.515625e-01
1600,2021-04-25T14:36:56.389007,3.295302e-01,8.750000e-01
1650,2021-04-25T14:37:04.686822,2.650000e-01,9.140625e-01
1700,2021-04-25T14:37:12.986631,3.119700e-01,8.359375e-01
1750,2021-04-25T14:37:21.261507,2.371036e-01,9.140625e-01
1800,2021-04-25T14:37:29.545359,3.137181e-01,8.515625e-01
1850,2021-04-25T14:37:37.819238,3.094363e-01,8.593750e-01
1900,2021-04-25T14:37:46.105085,3.144262e-01,8.750000e-01
1950,2021-04-25T14:37:54.388937,3.024468e-01,8.828125e-01
2000,2021-04-25T14:38:02.699717,3.511775e-01,8.515625e-01
2050,2021-04-25T14:38:11.571541,3.575587e-01,8.515625e-01
2100,2021-04-25T14:38:19.905260,2.603531e-01,8.906250e-01
2150,2021-04-25T14:38:28.185123,2.473144e-01,8.828125e-01
2200,2021-04-25T14:38:36.530809,2.816140e-01,8.828125e-01
2250,2021-04-25T14:38:44.870512,2.418282e-01,9.140625e-01
2300,2021-04-25T14:38:53.187276,2.551884e-01,9.140625e-01
2350,2021-04-25T14:39:01.494067,2.410834e-01,9.062500e-01
2400,2021-04-25T14:39:09.798864,2.351362e-01,9.062500e-01
2450,2021-04-25T14:39:18.083713,2.587959e-01,8.984375e-01
2500,2021-04-25T14:39:26.364574,2.954545e-01,8.515625e-01
2550,2021-04-25T14:39:35.221342,3.793085e-01,8.281250e-01
2600,2021-04-25T14:39:43.525142,3.805456e-01,8.359375e-01
2650,2021-04-25T14:39:51.806001,3.092229e-01,8.437500e-01
2700,2021-04-25T14:40:00.122766,3.437416e-01,8.671875e-01
2750,2021-04-25T14:40:08.431551,3.057635e-01,8.593750e-01
2800,2021-04-25T14:40:16.713408,1.988510e-01,9.140625e-01
2850,2021-04-25T14:40:25.002248,2.487187e-01,8.906250e-01
2900,2021-04-25T14:40:33.292083,2.897083e-01,8.515625e-01
2950,2021-04-25T14:40:41.557984,3.231477e-01,8.359375e-01
3000,2021-04-25T14:40:49.857793,2.523041e-01,9.062500e-01
3050,2021-04-25T14:40:58.781554,2.578127e-01,9.062500e-01
3100,2021-04-25T14:41:07.117268,2.769612e-01,8.906250e-01
3150,2021-04-25T14:41:15.416080,2.840989e-01,8.750000e-01
3200,2021-04-25T14:41:23.750796,2.150695e-01,8.828125e-01
3250,2021-04-25T14:41:32.045619,2.652112e-01,8.671875e-01
3300,2021-04-25T14:41:40.346425,2.418988e-01,8.906250e-01
3350,2021-04-25T14:41:48.649227,3.306000e-01,8.671875e-01
3400,2021-04-25T14:41:56.950034,2.467296e-01,8.984375e-01
3450,2021-04-25T14:42:05.252835,2.592484e-01,8.750000e-01
3500,2021-04-25T14:42:13.547658,2.490643e-01,9.062500e-01
3550,2021-04-25T14:42:22.438759,3.340132e-01,8.593750e-01
3600,2021-04-25T14:42:30.732584,2.305313e-01,8.984375e-01
3650,2021-04-25T14:42:39.004469,2.311348e-01,8.984375e-01
3700,2021-04-25T14:42:47.460367,2.814885e-01,8.750000e-01
3750,2021-04-25T14:42:55.714299,3.091486e-01,8.828125e-01
3800,2021-04-25T14:43:04.058988,2.916659e-01,8.671875e-01
3850,2021-04-25T14:43:12.374755,2.835044e-01,8.750000e-01
3900,2021-04-25T14:43:20.520976,2.784948e-01,9.062500e-01
3950,2021-04-25T14:43:28.665201,2.083538e-01,9.218750e-01
4000,2021-04-25T14:43:36.797459,2.849147e-01,8.750000e-01
4050,2021-04-25T14:43:45.393228,2.182669e-01,9.140625e-01
4100,2021-04-25T14:43:53.525485,2.634336e-01,8.750000e-01
4150,2021-04-25T14:44:01.643780,2.619694e-01,8.828125e-01
4200,2021-04-25T14:44:09.762074,2.328169e-01,9.062500e-01
4250,2021-04-25T14:44:17.919982,2.640799e-01,8.906250e-01
